#序号,经度,纬度,航向角(度)
1,120.06879575,30.32054605,15.83
2,120.06901802,30.32122263,105.98
3,120.06905234,30.32121414,195.83
4,120.06883007,30.32053757,105.98
5,120.06886440,30.32052908,15.83
6,120.06908667,30.32120565,105.98
7,120.06912100,30.32119716,195.83
8,120.06889873,30.32052059,105.98
9,120.06893306,30.32051210,15.83
10,120.06915533,30.32118867,217.60
11,120.06857066,30.32053341,12.58
12,120.06874796,30.32121913,102.70
13,120.06878130,30.32121264,192.58
14,120.06860399,30.32052692,102.70
15,120.06863732,30.32052043,12.58
16,120.06881463,30.32120615,102.70
17,120.06884796,30.32119966,192.58
18,120.06867065,30.32051394,102.70
19,120.06870399,30.32050746,12.58
20,120.06888129,30.32119318,102.70
21,120.06891463,30.32118669,192.58
22,120.06873732,30.32050097,192.58
